                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     76,                0.48105,                0.37499,                 1.0433,                 0.9735,                0.97744,                0.98704,                0.93611,                0.36377,                0.24932,                0.92607,              0.0005348,              0.0005348,              0.0005348
                     77,                0.48122,                0.38649,                 1.0473,                0.98466,                0.97473,                0.98751,                0.93614,                0.35276,                0.23963,                0.92138,               0.000515,               0.000515,               0.000515
                     78,                0.47624,                0.36741,                 1.0454,                0.98956,                0.96931,                0.98862,                0.94659,                 0.3407,                0.23352,                0.91195,              0.0004952,              0.0004952,              0.0004952
                     79,                0.47514,                0.37544,                 1.0471,                0.98364,                0.97671,                0.98811,                0.94544,                0.33727,                0.23184,                0.91039,              0.0004754,              0.0004754,              0.0004754
                     80,                0.46313,                0.35957,                  1.041,                 0.9863,                0.97431,                0.98733,                0.94137,                0.33651,                0.23445,                0.90609,              0.0004556,              0.0004556,              0.0004556
                     81,                0.47084,                0.36912,                 1.0469,                0.98876,                0.97563,                0.98759,                0.94522,                0.33239,                0.22704,                0.90154,              0.0004358,              0.0004358,              0.0004358
                     82,                0.46243,                0.35521,                 1.0397,                0.98975,                0.97834,                 0.9885,                 0.9472,                0.33735,                0.22583,                0.90635,               0.000416,               0.000416,               0.000416
                     83,                0.44788,                0.35308,                 1.0311,                0.98813,                0.97632,                0.98862,                0.94905,                0.32618,                0.22197,                0.89888,              0.0003962,              0.0003962,              0.0003962
                     84,                0.44596,                0.34671,                 1.0321,                0.98811,                0.97494,                0.98777,                0.94795,                0.32506,                0.23025,                0.89471,              0.0003764,              0.0003764,              0.0003764
                     85,                0.44815,                0.34132,                 1.0341,                  0.981,                0.97856,                0.98829,                0.95128,                0.31896,                0.22268,                0.88989,              0.0003566,              0.0003566,              0.0003566
                     86,                0.44312,                0.34893,                 1.0291,                0.98995,                0.97764,                0.98848,                0.95286,                0.31402,                0.21317,                0.88789,              0.0003368,              0.0003368,              0.0003368
                     87,                 0.4364,                0.33761,                 1.0202,                0.98509,                0.97744,                0.98892,                0.95286,                 0.3101,                0.21639,                0.88333,               0.000317,               0.000317,               0.000317
                     88,                0.43882,                0.33593,                   1.03,                 0.9872,                0.97487,                0.98885,                  0.952,                0.31002,                0.21791,                 0.8834,              0.0002972,              0.0002972,              0.0002972
                     89,                0.43553,                0.33508,                 1.0282,                0.98475,                0.97744,                0.98867,                0.95382,                0.30806,                0.21431,                0.88442,              0.0002774,              0.0002774,              0.0002774
                     90,                0.42342,                0.32138,                 1.0205,                0.99146,                0.97202,                0.98833,                0.95334,                0.30669,                 0.2133,                0.88229,              0.0002576,              0.0002576,              0.0002576
                     91,                0.30038,                 0.2189,                0.92372,                 0.9908,                0.97169,                0.98887,                0.95461,                0.30849,                0.21627,                0.88532,              0.0002378,              0.0002378,              0.0002378
                     92,                0.29269,                0.21107,                0.91997,                0.98547,                0.97922,                0.98963,                0.95839,                0.30196,                0.21086,                0.87813,               0.000218,               0.000218,               0.000218
                     93,                0.27504,                0.19769,                0.89822,                0.97976,                0.97924,                0.98975,                0.96146,                0.29776,                0.20726,                0.87584,              0.0001982,              0.0001982,              0.0001982
                     94,                0.27089,                0.19404,                0.90061,                 0.9784,                  0.981,                0.99019,                0.96255,                0.28764,                0.20094,                0.87116,              0.0001784,              0.0001784,              0.0001784
                     95,                0.26451,                 0.1915,                0.89806,                0.98453,                0.97642,                0.99009,                0.96307,                 0.2844,                0.19834,                0.86889,              0.0001586,              0.0001586,              0.0001586
                     96,                0.25835,                 0.1854,                0.89139,                0.98279,                0.97949,                0.98982,                0.96426,                0.28319,                0.19631,                0.86744,              0.0001388,              0.0001388,              0.0001388
                     97,                0.25296,                0.18133,                0.88485,                0.98555,                0.98014,                0.98968,                0.96617,                0.28386,                0.19409,                0.86891,               0.000119,               0.000119,               0.000119
                     98,                0.25151,                0.18213,                 0.8888,                0.98694,                0.98014,                0.99026,                0.96588,                0.27794,                0.18948,                0.86297,               9.92e-05,               9.92e-05,               9.92e-05
                     99,                 0.2421,                0.17356,                0.88123,                0.99086,                0.98105,                0.99132,                0.96833,                0.27475,                0.18776,                0.86123,               7.94e-05,               7.94e-05,               7.94e-05
                    100,                 0.2417,                0.17485,                0.87999,                0.98786,                0.98105,                 0.9911,                0.96919,                0.26982,                0.18742,                0.85716,               5.96e-05,               5.96e-05,               5.96e-05
